epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8814,1.33226,2.75595,2.58603,2.03863,0.86686,0.68213,0.75198,0.30119,0.03472,0.06667,0.00578,0.00123,2.13122,8.9558,1.28864,3.85968,0.0672877,0.000164384,0.000164384
2,58.8236,1.10579,1.98731,0.93559,1.81119,0.75299,0.61905,0.77191,0.43751,0.65577,0.65319,0.71351,0.42189,1.394,1.89293,1.1693,2.63788,0.034121,0.000331031,0.000331031
3,80.9241,1.02356,1.78066,0.81928,1.72204,0.93417,0.84762,0.93779,0.59559,0.75001,0.74286,0.7156,0.24488,1.17408,5.71922,0.77559,2.38772,0.000954221,0.0004976,0.0004976
4,102.838,1.08482,1.81887,0.86102,1.77284,0.90521,0.94286,0.9725,0.57719,0.90074,0.87619,0.91621,0.49973,1.29136,2.47119,0.90632,2.32325,0.000499736,0.000499736,0.000499736
5,125.053,0.99013,1.6719,0.80348,1.69035,0.92096,0.93333,0.96391,0.5874,0.9162,0.9371,0.97399,0.7139,1.16169,1.00884,0.84262,2.29744,0.000499531,0.000499531,0.000499531
6,147.203,0.97046,1.65247,0.7935,1.70117,0.91434,0.9619,0.98032,0.63233,0.91434,0.9619,0.98032,0.71878,1.11277,1.40432,0.79795,2.10993,0.000499268,0.000499268,0.000499268
7,169.275,1.03558,1.68669,0.79382,1.73509,0.94786,0.92381,0.95449,0.70218,0.94786,0.92381,0.95449,0.7465,0.94197,0.88593,0.57925,1.98809,0.000498946,0.000498946,0.000498946
8,191.432,0.99749,1.65912,0.78293,1.67272,0.94915,0.92381,0.95034,0.6975,0.94915,0.92381,0.95034,0.72573,1.02257,0.77748,0.5891,2.0514,0.000498566,0.000498566,0.000498566
9,213.43,0.93406,1.55596,0.75293,1.64412,0.9698,0.91765,0.96687,0.71016,0.9698,0.91765,0.95087,0.74988,0.92469,0.98305,0.60779,1.92026,0.000498127,0.000498127,0.000498127
10,235.562,0.93762,1.62645,0.73771,1.6539,0.94079,0.93333,0.95351,0.67046,0.94391,0.96156,0.96278,0.74784,1.0295,0.97548,0.68979,2.03267,0.000497631,0.000497631,0.000497631
11,257.884,0.90771,1.55836,0.70811,1.61106,0.99577,0.90476,0.97993,0.72104,0.98529,0.89524,0.96256,0.75657,0.96104,0.74368,0.5783,1.89798,0.000497076,0.000497076,0.000497076
12,280.267,0.92005,1.59833,0.72441,1.6097,0.96211,0.91429,0.97174,0.71403,0.96211,0.91429,0.97174,0.75209,0.94695,0.6239,0.5612,1.9564,0.000496463,0.000496463,0.000496463
13,302.616,0.91659,1.56636,0.70509,1.61339,0.9261,0.99048,0.95853,0.68081,0.9261,0.99048,0.95853,0.73288,1.02132,1.17957,0.69644,2.03905,0.000495793,0.000495793,0.000495793
14,325.008,0.94309,1.66545,0.69838,1.65078,0.97343,0.9619,0.99244,0.71811,0.96379,0.95238,0.9759,0.74591,0.97061,1.09049,0.53563,1.93518,0.000495065,0.000495065,0.000495065
15,347.494,0.93638,1.61408,0.73437,1.63874,0.96081,0.93391,0.97974,0.72673,0.95144,0.93333,0.96178,0.7966,0.92277,0.70061,0.50723,1.92459,0.00049428,0.00049428,0.00049428
16,369.873,0.91611,1.54344,0.71272,1.62788,0.97113,0.96116,0.98245,0.72264,0.96152,0.95181,0.96798,0.77902,0.88312,0.56226,0.49145,1.86182,0.000493438,0.000493438,0.000493438
17,392.235,0.85182,1.50586,0.67659,1.55592,0.96853,0.95238,0.98564,0.75628,0.95842,0.94286,0.96831,0.79722,0.89653,0.70955,0.49531,1.84405,0.000492539,0.000492539,0.000492539
18,414.637,0.84086,1.51083,0.64792,1.5459,0.9624,0.97507,0.99271,0.76425,0.9624,0.97507,0.99271,0.7593,0.80414,0.95174,0.46645,1.73997,0.000491582,0.000491582,0.000491582
19,437.108,0.83856,1.44123,0.63242,1.55214,0.9619,0.96166,0.97136,0.73829,0.9619,0.96166,0.97136,0.78724,0.85062,0.59232,0.44772,1.83015,0.00049057,0.00049057,0.00049057
20,459.44,0.78644,1.4612,0.61026,1.50531,0.98194,0.99048,0.98957,0.74842,0.9725,0.98095,0.97662,0.80455,0.86241,0.60638,0.42385,1.84653,0.000489501,0.000489501,0.000489501
21,481.857,0.84151,1.38159,0.64811,1.5331,0.96828,0.95238,0.98349,0.73024,0.96828,0.95238,0.98349,0.76662,0.85894,0.61388,0.47623,1.78576,0.000488376,0.000488376,0.000488376
22,504.223,0.82766,1.39347,0.62477,1.53195,0.92469,0.9619,0.98413,0.6821,0.91472,0.95238,0.97044,0.69998,0.90384,1.04777,0.60977,1.9004,0.000487195,0.000487195,0.000487195
23,526.503,0.81368,1.3896,0.62325,1.53133,0.93146,0.92381,0.95748,0.74814,0.94107,0.93333,0.97361,0.78285,0.8446,0.5396,0.48844,1.81069,0.000485959,0.000485959,0.000485959
24,548.88,0.83031,1.45911,0.62311,1.54188,0.97119,0.96332,0.9787,0.75027,0.97119,0.96332,0.9787,0.79341,0.85115,0.69969,0.5089,1.78394,0.000484668,0.000484668,0.000484668
25,571.121,0.78436,1.39999,0.61703,1.49578,0.99047,0.99031,0.99462,0.76933,0.99047,0.99031,0.99462,0.84199,0.82366,0.63906,0.45809,1.73084,0.000483322,0.000483322,0.000483322
26,593.534,0.7709,1.4107,0.60149,1.47437,0.98746,0.97143,0.99372,0.75395,0.97768,0.9619,0.98346,0.81689,0.8855,0.68841,0.47482,1.86095,0.000481921,0.000481921,0.000481921
27,615.804,0.7952,1.42179,0.60493,1.50124,0.97136,0.96907,0.98647,0.77218,0.97136,0.96907,0.98647,0.81855,0.76968,0.54625,0.41634,1.73081,0.000480467,0.000480467,0.000480467
28,638.131,0.73576,1.28236,0.55958,1.44734,0.97138,0.96987,0.97807,0.76851,0.97138,0.96987,0.97807,0.77803,0.83498,0.5612,0.46359,1.72485,0.000478958,0.000478958,0.000478958
